Claim ID,Tier,Product Scope,Approved Wording,Word Count,Soil/Surface,Notes
1,Tier 2,Fitness (both formulations),"In independent lab testing by TURI at UMass Lowell, Wipex Natural Fitness Wipes outperformed traditional quat-based disinfecting wipes at removing body oil from vinyl, rubber, coated yoga mats and stainless steel.",26,Body Oil / All 4 materials,Headline — both Lavender & Lemongrass
2,Tier 2,Lavender,"In independent lab testing by TURI at UMass Lowell, Wipex Lavender Fitness Wipes removed more than three times as much body oil as a traditional quat-based disinfecting wipe, and 43% more than a traditional citric-acid-based disinfecting wipe, averaged across vinyl, rubber, coated yoga mats and stainless steel.",46,Body Oil / Overall,Use exact wording — never "X% over"
3,Tier 2,Lavender,"On stainless steel, Wipex Lavender Fitness Wipes removed 80% of body oil in TURI's test at UMass Lowell — more than four times the removal of either traditional disinfecting wipe tested.",33,Body Oil / Stainless Steel,"Effective cleaner" threshold met (80% ≥ 75%)
4,Tier 2,Lemongrass & EMPOWER,"In TURI's synthetic-sweat test at UMass Lowell, Wipex Lemongrass & Eucalyptus Fitness Wipes (the same formulation as EMPOWER) had the highest overall sweat removal of the four wipes tested, ahead of both traditional quat-based and citric-acid-based disinfecting wipes.",46,Synthetic Sweat / Overall,"Effective cleaner" threshold met (77.6% ≥ 75%); explicitly names EMPOWER as same formulation
5,Tier 2,Lemongrass & EMPOWER,"On stainless steel, Wipex Lemongrass & Eucalyptus removed 90% of synthetic sweat — 56% more than a traditional quat-based disinfecting wipe and five times as much as a traditional citric-acid-based disinfecting wipe (TURI, UMass Lowell).",37,Synthetic Sweat / Stainless Steel,Use "X times as much" not "X% over"; include lab attribution
6,Tier 2,Both Fitness,"Both Wipex fitness formulations removed more body oil from stainless steel than either traditional disinfecting wipe in independent testing at TURI, UMass Lowell.",26,Body Oil / Stainless Steel,Lavender 80.2% + Lemongrass 46.8% both beat benchmarks
7,Tier 2,Fitness & EMPOWER,"Independently lab-tested for cleaning performance on vinyl, rubber, coated yoga mats and stainless steel (TURI, UMass Lowell).",17,Standalone,Fitness formulations + EMPOWER only; no other product
8,Tier 2,Fitness & EMPOWER,"Lab-verified for material compatibility with vinyl, rubber, coated yoga mats and stainless steel.",15,Standalone,Based on 21-hour soak test; basis for "100% vinyl compatible" badge
9,Tier 2,Fitness & EMPOWER,"Tested to remove sweat and body oil from the surfaces members actually touch — vinyl, rubber, coated yoga mats and stainless steel.",21,Standalone,Emphasizes real-world use case
10,Tier 2,Fitness & EMPOWER,"Gentle on vinyl, rubber, coated yoga mats and stainless steel — and lab-verified compatible with each of them.",17,Standalone,Combines Tier 3 language with Tier 2 evidence
11,Tier 3,"Any non-BZK, non-EPA surface product","A gentle, plant-powered formulation tailored for fitness equipment.",9,Qualitative,No test required; Table Bussers, AutoWipes, floor, touchscreen, IPA, Handy Jack also permitted
12,Tier 3,"Any non-BZK, non-EPA surface product","Cuts through sweat, body oil and grime on benches, mats and machines.",11,Qualitative,Qualitative efficacy; no comparison or number
13,Tier 3,"Any non-BZK, non-EPA surface product","Great for use on vinyl upholstery, rubber flooring and stainless steel.",12,Qualitative,"Great for use on" = permitted phrasing instead of "safe on"
14,Tier 3,Touchscreen wipes,"Streak-free on touchscreens and consoles.",6,Qualitative,Product-specific; no test required
15,Tier 3,Table Bussers,"A proprietary formulation designed for tables, counters and food-service surfaces.",10,Qualitative,Product-specific; no "food-safe"
16,Tier 3,AutoWipes,"Gentle on dashboards, leather and trim.",7,Qualitative,Product-specific; no "safe on"
