Prohibited Claim,Why Prohibited,Correction/Alternative
"Safe on all gym surfaces","safe" = universal guarantee; no test covers all finishes/coatings; even tested materials not guaranteed across all conditions,Use "gentle on [specific materials]" or "great for use on [specific materials]" + patch-test line
"Proven gentler than disinfectants","proven" implies comparative test of gentleness; no such test exists,Use "qualitative efficacy" claims only: "gentle formulation" or descriptive claims like "cuts through sweat"
"Outperforms disinfectant wipes" (unqualified),"outperforms" without soil + surface + lab name + benchmark name,Use one of 6 approved comparative sentences (Annex A Section 6 items 1–6)
"147% over quat-based wipes","X% over" = ambiguous; figures cannot be reproduced from TURI reports,Use Section 6 approved wording: "more than 3× the body-oil removal" or "43% more body-oil removal"
"Lab-tested" (on Table Bussers / AutoWipes / Floor / Screen / IPA / Handy Jack),No test exists for these products; Tier 2 claims lock to Fitness + EMPOWER only,Use Tier 3 qualitative claims only; or wait for test to exist
"Removes more sweat from vinyl than [benchmark]",Wipex did not beat benchmark on sweat/vinyl in TURI test; cell marked —,State removal rate descriptively only (Tier 3); no comparison
"Lavender beats citric wipes on yoga mats",Lavender lost to citric on coated yoga mat; cell marked —,Use Lavender only for body oil (claims available: overall, stainless, rubber, yoga mat vs quat only)
"Kills what's on the mat" / "Hygienic clean" / "Sanitary surfaces","sanitizing" language on a non-registered product; crosses regulatory line; germ-kill not allowed on natural wipes,Use surface-cleaning language only: "removes," "lifts," "cuts through," "fresh," "clean"
"Won't damage equipment",Guarantee without universal test data; not permitted,Use "gentle on [specific materials]" + patch-test line; or "lab-verified for material compatibility"
Any Tier 2 claim on EMBODY / Bundle as a whole / BZK,These products have no TURI data; EMBODY is body wipe (skin) not surface; bundles inherit component claims only,Use component-level claims only; attach claims to named fitness component; use Tier 3 for EMBODY body-care context
"100% natural" / "X% natural",Percentage-natural claims prohibited (A-005); superlatives prohibited,Use "made with natural ingredients" or "contains natural ingredients" for products with code N
"Best" / "Safest" / "Most effective" / "Strongest" / "#1" / "Ultimate",Unsubstantiated superlatives; only with test-specific comparison,Use approved test-tied language or qualitative efficacy (Tier 3)
"Recommended by [gym brand]" / "Used by [professional]",Endorsement claims not in approved set; require evidence,Escalate to Dean; do not add without logged amendment
"FDA-approved" (non-BZK),FDA-registered (BZK) ≠ FDA-approved; only existing page wording permitted (frozen),Keep BZK page language as-is; do not extend
"Food-safe" / "Food-contact surface approved" / "Food-grade",Prohibited regardless of context,Use "suitable for food service environments" only for Table Bussers with NSF
"Compostable" / "Biodegradable" (finished product),"Compostable/biodegradable" claims locked to cloth substrate only; disclaimers mandatory,Use "The cloth fibers are TÜV certified (OK COMPOST HOME and INDUSTRIAL). This applies to the cloth substrate only, not the finished wipe, formula or packaging."
"Eco-friendly packaging" / "Sustainable packaging" (blanket),Packaging claims prohibited except refills,Use "Refills are a more eco-friendly packaging option because they use less material"
No "natural" on BZK products (ever),"natural" prohibited on BZK bucket/refill/MAX OUT in any form — even where technically true (A-008),No workaround; substrate statement "plant-based viscose cloth" is NOT a "natural" claim
