Formulation,Soil,Surface,Wipex %,Quat % Bench,Citric % Bench,Claimable,Approved Wording Notes
Lavender,Body Oil,Overall,43.9%,13.6%,30.7%,"Yes vs both","3x quat, 43% more citric"
Lavender,Body Oil,Stainless Steel,80.2%,12.1%,17.6%,"Yes vs both","4x quat, "effective cleaner" threshold (75%+)"
Lavender,Body Oil,Rubber,44.0%,21.9%,27.6%,"Yes vs both","~2x quat, 60% more citric"
Lavender,Body Oil,Coated Yoga Mat,30.7%,7.1%,44.7%,"Yes vs quat only","4.3x quat; NO claim vs citric"
Lavender,Body Oil,Vinyl,20.6%,13.4%,32.8%,"Yes vs quat only","~1.5x quat; NO claim vs citric"
Lavender,Synthetic Sweat,Overall,63.2%,76.9%,70.5%,NO,"Lavender loses vs quat & citric"
Lavender,Synthetic Sweat,Coated Yoga Mat,77.3%,67.7%,80.8%,"Yes vs quat only","~1.1x quat; NO claim vs citric"
Lemongrass & Eucalyptus,Body Oil,Overall,29.6%,13.6%,30.7%,"Yes vs quat only","2.2x quat; NO claim vs citric"
Lemongrass & Eucalyptus,Body Oil,Stainless Steel,46.8%,12.1%,17.6%,"Yes vs both","3.9x quat, 2.7x citric"
Lemongrass & Eucalyptus,Body Oil,Rubber,25.5%,21.9%,27.6%,"Yes vs quat only","1.2x quat; NO claim vs citric"
Lemongrass & Eucalyptus,Body Oil,Coated Yoga Mat,19.4%,7.1%,44.7%,"Yes vs quat only","2.7x quat; NO claim vs citric"
Lemongrass & Eucalyptus,Body Oil,Vinyl,26.6%,13.4%,32.8%,"Yes vs quat only","2x quat; NO claim vs citric"
Lemongrass & Eucalyptus,Synthetic Sweat,Overall,77.6%,76.9%,70.5%,"Yes vs both","Highest of four, "effective cleaner" (75%+)"
Lemongrass & Eucalyptus,Synthetic Sweat,Stainless Steel,90.4%,57.9%,18.0%,"Yes vs both","56% more quat, 5x citric"
Lemongrass & Eucalyptus,Synthetic Sweat,Rubber,99.3%,98.5%,98.0%,"NO (all equal)","All four ~equal, state removal only"
Lemongrass & Eucalyptus,Synthetic Sweat,Coated Yoga Mat,54.9%,67.7%,80.8%,NO,"Lemongrass loses vs both"
Lemongrass & Eucalyptus,Synthetic Sweat,Vinyl,65.8%,83.5%,85.3%,NO,"Lemongrass loses vs both"
EMPOWER (=Lemongrass),Synthetic Sweat,Overall,77.6%,76.9%,70.5%,"Yes vs both","Same formulation as Lemongrass"
EMPOWER (=Lemongrass),Synthetic Sweat,Stainless Steel,90.4%,57.9%,18.0%,"Yes vs both","Same formulation as Lemongrass"
EMPOWER (=Lemongrass),Body Oil,Overall,29.6%,13.6%,30.7%,"Yes vs quat only","Same formulation as Lemongrass"
EMPOWER (=Lemongrass),Body Oil,Stainless Steel,46.8%,12.1%,17.6%,"Yes vs both","Same formulation as Lemongrass"
