n,date,handle,title,author,words,h2,h3,paras,avg_para,max_para,imgs,tables,lists,faq,qm,products,blogs,colls
1,2026-09-21,facility-cleaning-wipes,Fall Facility Readiness 2026,Lívia Schlemmer,3918,20,19,60,43,631,52,0,33,True,23,0,4,39
2,2026-09-17,world-cleanup-day-2026-gym-cleaning-routine,World Cleanup Day 2026: Gym Cleaning Routine Guide,Lívia Schlemmer,4561,23,25,83,40,631,54,1,34,True,21,9,4,46
3,2026-09-14,bulk-70-alcohol-wipes-procurement-buying-guide,70% Isopropyl Alcohol Wipes: When Commercial Facilities Should Use Them,guilherme@rjl.com.br User,3080,19,14,53,44,631,54,1,34,True,15,7,4,39
4,2026-09-10,flu-season-facility-preparedness,Wipex — Flu Season Preparedness Article,guilherme@rjl.com.br User,4053,21,11,52,53,631,53,1,37,True,11,5,5,36
5,2026-09-03,us-labor-day-fall-reset,US Labor Day → Fall Reset,guilherme@rjl.com.br User,2846,13,4,65,38,631,50,0,30,True,16,8,4,33
6,2026-08-31,bulk-gym-cleaning-wipes-supplies,Gym Cleaning Procurement: How Commercial Fitness Facilities Should Source Wipes & Cleaning Supplies,Lívia Schlemmer,3977,20,11,74,46,631,53,1,36,True,14,7,4,41
7,2026-08-31,table-busser-restaurant-efficiency,How Table Bussers Improve Restaurant Efficiency and Table Turnover,Lívia Schlemmer,3416,18,15,78,35,631,51,1,33,True,20,5,5,40
8,2026-08-27,commercial-gym-cleaning-supplies,Commercial Gym Cleaning Supplies: How to Build a Professional Gym Cleaning System,Lívia Schlemmer,3878,18,6,71,49,631,53,1,30,True,16,10,4,38
9,2026-08-25,buy-cleaning-wipes-in-bulk,"Buying Wipes in Bulk: Wholesale Pricing, MOQs, and How to Set Up a Facility Account",Lívia Schlemmer,4011,22,27,74,38,631,56,1,35,True,20,9,4,38
10,2026-08-25,yoga-studio-hygiene-standards,Yoga Studio Hygiene Standards: What Members Expect in 2026,Lívia Schlemmer,3729,26,34,89,36,631,53,1,30,True,17,0,4,52
11,2026-08-24,commercial-gym-cleaning-system,A Smarter Cleaning System for High-Traffic Fitness Facilities,Lívia Schlemmer,3728,19,36,82,39,631,53,1,30,True,15,14,4,34
12,2026-08-21,bulk-wipe-refill-rolls-800ct,How to Reduce Wipe Waste (and Spend) with a Refill Roll System,guilherme@rjl.com.br User,2707,13,4,60,41,631,46,0,30,True,13,0,4,32
13,2026-08-19,pilates-studio-cleaning-supplies-guide,Pilates Fall 2026 Guide,Lívia Schlemmer,3016,18,16,54,43,631,55,1,34,True,11,14,4,39
14,2026-08-18,fall-gym-cleaning-checklist,Fall Gym Cleaning Checklist: Restock Before September Hits,guilherme@rjl.com.br User,3536,18,27,62,44,631,48,1,41,True,15,2,4,46
15,2026-08-14,bulk-isopropyl-alcohol-wipes-buyers-guide,Bulk Isopropyl Alcohol Wipes: The Complete Buyer's Guide for Businesses,Lívia Schlemmer,3812,18,12,54,52,631,51,1,35,True,17,7,7,35
16,2026-08-12,gym-wipe-dispenser-vs-bucket,Gym Wipe Dispensers vs. Buckets,Lívia Schlemmer,4762,20,20,70,49,631,51,1,38,True,23,7,13,40
17,2026-07-28,back-to-office-alcohol-wipes,Back-to-Office Cleaning Checklist: Preparing Workspaces for a Healthier Fall Season,Lívia Schlemmer,2738,16,10,39,64,631,58,0,28,True,20,4,4,32
18,2026-07-28,flu-season-workplace-wipes,Keep Your Team Healthy and Your Doors Open This Flu Season,Lívia Schlemmer,3843,19,24,78,42,631,55,1,33,True,16,6,4,35
19,2026-07-23,back-to-gym-routine-clean-equipment-member-confidence,Build Member Confidence With A Cleaner Fitness Experience,Lívia Schlemmer,3262,14,8,48,57,631,59,0,33,False,19,4,4,33
20,2026-07-20,cyclosporiasis-surface-cleaning-guide,What businesses should know about Cyclosporiasis and everyday surface sanitation,Lívia Schlemmer,3650,19,33,72,36,631,60,0,32,True,16,16,4,32
21,2026-07-14,back-to-school-cleaning-checklist,"The Complete Back-to-School Cleaning Checklist for Schools, Classrooms & Campus Facilities",Lívia Schlemmer,2578,15,6,40,72,720,57,0,28,True,16,3,4,32
